row,kind,bin1,bin2,theta_arcmin,kept_after_cuts
259,xim,src3,src4,103.2989831192456,1
260,xim,src3,src4,210.27106704526625,1
261,xim,src4,src4,0.7133649061081178,0
262,xim,src4,src4,1.4520956109204288,0
263,xim,src4,src4,2.955824775230527,0
264,xim,src4,src4,6.016752640915019,0
265,xim,src4,src4,12.247448713915889,0
266,xim,src4,src4,24.930391683376275,0
267,xim,src4,src4,50.747257163882935,1
268,xim,src4,src4,103.2989831192456,1
269,xim,src4,src4,210.27106704526625,1
