row,kind,pair_index,bin1_1based,bin2_1based,bin1,bin2,theta_index,theta_arcmin,value
201,xim,7,2,4,src1,src3,3,6.016752640915019,-1.653111586562309e-06
202,xim,7,2,4,src1,src3,4,12.247448713915889,4.1130288542376776e-06
203,xim,7,2,4,src1,src3,5,24.930391683376275,2.184363988645515e-06
204,xim,7,2,4,src1,src3,6,50.747257163882935,1.1580122877931002e-06
205,xim,7,2,4,src1,src3,7,103.29898311924559,5.334058764447288e-07
206,xim,7,2,4,src1,src3,8,210.27106704526622,6.451167779670006e-07
207,xim,8,2,5,src1,src4,0,0.7133649061081178,-2.563917572498222e-05
208,xim,8,2,5,src1,src4,1,1.4520956109204288,1.5879891819146307e-05
209,xim,8,2,5,src1,src4,2,2.955824775230527,2.927064447872986e-07
210,xim,8,2,5,src1,src4,3,6.016752640915019,3.542572208907827e-06
211,xim,8,2,5,src1,src4,4,12.247448713915889,4.918495223255274e-07
212,xim,8,2,5,src1,src4,5,24.930391683376275,2.025360960985023e-06
213,xim,8,2,5,src1,src4,6,50.747257163882935,1.4675684002966677e-07
214,xim,8,2,5,src1,src4,7,103.29898311924559,1.9859160755079118e-07
215,xim,8,2,5,src1,src4,8,210.27106704526622,3.329464420784786e-07
216,xim,9,3,3,src2,src2,0,0.7133649061081178,1.460189434674701e-06
217,xim,9,3,3,src2,src2,1,1.4520956109204288,1.1586621008774544e-05
218,xim,9,3,3,src2,src2,2,2.955824775230527,5.846066903737355e-06
219,xim,9,3,3,src2,src2,3,6.016752640915019,-1.372083645663857e-06
220,xim,9,3,3,src2,src2,4,12.247448713915889,3.994953796694012e-06
221,xim,9,3,3,src2,src2,5,24.930391683376275,1.5761060697744045e-06
222,xim,9,3,3,src2,src2,6,50.747257163882935,9.803471733668168e-07
223,xim,9,3,3,src2,src2,7,103.29898311924559,5.922098680270402e-08
224,xim,9,3,3,src2,src2,8,210.27106704526622,3.515588162746225e-07
225,xim,10,3,4,src2,src3,0,0.7133649061081178,2.975162504244101e-05
226,xim,10,3,4,src2,src3,1,1.4520956109204288,2.442725394939438e-05
227,xim,10,3,4,src2,src3,2,2.955824775230527,2.202278194951514e-05
228,xim,10,3,4,src2,src3,3,6.016752640915019,9.638566387644006e-06
229,xim,10,3,4,src2,src3,4,12.247448713915889,5.814472292413904e-06
230,xim,10,3,4,src2,src3,5,24.930391683376275,2.7793637163820065e-06
231,xim,10,3,4,src2,src3,6,50.747257163882935,1.7718162876615478e-06
232,xim,10,3,4,src2,src3,7,103.29898311924559,3.4382642675319714e-07
233,xim,10,3,4,src2,src3,8,210.27106704526622,3.7877644957718047e-07
234,xim,11,3,5,src2,src4,0,0.7133649061081178,-4.878916141314476e-05
235,xim,11,3,5,src2,src4,1,1.4520956109204288,1.5766640463453306e-05
236,xim,11,3,5,src2,src4,2,2.955824775230527,1.3853771660263956e-05
237,xim,11,3,5,src2,src4,3,6.016752640915019,1.2759560543271103e-05
238,xim,11,3,5,src2,src4,4,12.247448713915889,5.785094731049727e-06
239,xim,11,3,5,src2,src4,5,24.930391683376275,4.481369196902971e-06
240,xim,11,3,5,src2,src4,6,50.747257163882935,2.132365321828994e-06
241,xim,11,3,5,src2,src4,7,103.29898311924559,1.1225978355580665e-06
242,xim,11,3,5,src2,src4,8,210.27106704526622,9.312696409251939e-07
243,xim,12,4,4,src3,src3,0,0.7133649061081178,-7.9568126722379e-06
244,xim,12,4,4,src3,src3,1,1.4520956109204288,3.642119983173379e-05
245,xim,12,4,4,src3,src3,2,2.955824775230527,2.68818761660164e-05
246,xim,12,4,4,src3,src3,3,6.016752640915019,1.1085232887808059e-05
247,xim,12,4,4,src3,src3,4,12.247448713915889,7.811985130956321e-06
248,xim,12,4,4,src3,src3,5,24.930391683376275,3.862306628954039e-06
