readout_strength,recovery_alpha_08,recovery_alpha_16,recovery_alpha_30
0.3010033444816054,0.312252881000967,0.45943302892403426,0.6453207524879379
0.30434782608695654,0.3140905475587838,0.4623179692020469,0.6488616139215208
0.3076923076923077,0.31592330385484246,0.46518751290414384,0.6523671259520026
0.3110367892976589,0.3177511630094071,0.4680417421999809,0.6558376414822925
0.31438127090301005,0.31957413810768415,0.4708807388206847,0.6592735098921712
0.3177257525083612,0.3213922421999166,0.4737045840611923,0.6626750770734645
0.3210702341137124,0.32320548830147683,0.47651335878258005,0.666042685464864
0.32441471571906355,0.3250138893929601,0.4793071434143782,0.6693766740864004
0.3277591973244147,0.3268174584202775,0.48208601795687445,0.6726773785735739
0.3311036789297659,0.3286162082947483,0.4848500619834048,0.6759451312111415
0.33444816053511706,0.3304101518931928,0.4875993546426319,0.6791802609665699
0.3377926421404682,0.3321993020580244,0.49033397466081174,0.6823830935231519
0.3411371237458194,0.3339836715973411,0.49305400034404756,0.6855539513127932
0.34448160535117056,0.33576327328501787,0.4957595095805327,0.6886931535484727
0.34782608695652173,0.3375381198607976,0.4984505798427807,0.6918010162563777
0.3511705685618729,0.33930822403038263,0.5011272881898433,0.6948778523077175
0.35451505016722407,0.34107359846552543,0.5037897112695182,0.697923971450222
0.35785953177257523,0.3428342558041193,0.5064379253205421,0.7009396803393231
0.3612040133779264,0.34459020865028944,0.5090720061747758,0.7039252825690261
0.36454849498327757,0.34634146957448203,0.5116920292593738,0.7068810787024737
0.36789297658862874,0.34808805111355545,0.5142980695989459,0.7098073663022029
0.3712374581939799,0.34982996577086933,0.5168902018177041,0.712704439960101
0.3745819397993311,0.3515672260163742,0.5194685001416001,0.7155725913270633
0.37792642140468224,0.3532998442867006,0.5220330384004507,0.7184121091423525
0.3812709030100334,0.35502783298524854,0.5245838900300521,0.7212232792626678
0.3846153846153846,0.35675120448227604,0.5271211280742827,0.7240063846909207
0.3879598662207358,0.35846997111498735,0.5296448251871941,0.726761705604727
0.391304347826087,0.36018414518762193,0.5321550536350925,0.7294895193846106
0.39464882943143814,0.36189373897154203,0.5346518852986073,0.7321901006419294
0.3979933110367893,0.36359876470532076,0.53713539167475,0.7348637212465193
0.4013377926421405,0.3652992345948297,0.539605643878961,0.7375106503540644
0.40468227424749165,0.36699516081332606,0.5420627126471463,0.7401311544331928
0.4080267558528428,0.3686865555015402,0.5445066683377031,0.7427254972923021
0.411371237458194,0.3703734307677623,0.546937580933534,0.7452939401061177
0.41471571906354515,0.37205579868792904,0.5493555200440516,0.7478367414419851
0.4180602006688963,0.3737336713057099,0.5517605549071718,0.7503541572858998
0.4214046822742475,0.37540706063259394,0.5541527543912959,0.7528464410682787
0.42474916387959866,0.37707597864797515,0.5565321869972824,0.7553138436894719
0.4280936454849498,0.37874043729923856,0.5588989208604098,0.7577566135450217
0.431438127090301,0.3804004485018455,0.5612530237523266,0.760174996550669
0.43478260869565216,0.3820560241394194,0.5635945630829923,0.7625692361671093
0.43812709030100333,0.3837071760638304,0.5659236059026074,0.7649395734245024
0.4414715719063545,0.38535391609528025,0.5682402189035339,0.7672862469467371
0.44481605351170567,0.386996256022387,0.5705444684222047,0.7696094929754538
0.44816053511705684,0.38863420760226963,0.5728364204410231,0.7719095453938267
0.451505016722408,0.39026778256063177,0.5751161405902524,0.7741866357501095
0.45484949832775917,0.3918969925918459,0.5773836941498953,0.7764409932809455
0.45819397993311034,0.393521849359037,0.5796391460515626,0.7786728449344444
0.4615384615384615,0.3951423644941663,0.5818825608803337,0.7808824153930306
0.4648829431438127,0.396758549598114,0.5841140028766045,0.7830699270960609
0.46822742474916385,0.398370416240763,0.5863335359379283,0.7852356002622187
0.47157190635451507,0.3999779759610811,0.5885412236208445,0.7873796529116825
0.47491638795986624,0.40158124026720377,0.5907371291426993,0.7895023008880754
0.4782608695652174,0.40318022063651693,0.5929213153834554,0.7916037578801933
0.4816053511705686,0.4047749285157389,0.5950938448874928,0.7936842354435175
0.48494983277591974,0.40636537532100175,0.5972547798653999,0.7957439430215129
0.4882943143812709,0.407951572437934,0.5994041821957544,0.7977830879667106
0.4916387959866221,0.4095335312217415,0.6015421134268959,0.7998018755615856
0.49498327759197325,0.411111262997289,0.6036686347786879,0.8018005090392193
0.4983277591973244,0.41268477905918094,0.6057838071442707,0.8037791896037622
0.5016722408026756,0.41425409067184255,0.6078876910918056,0.8057381164506868
0.5050167224080268,0.41581920906960046,0.609980346866209,0.8076774867868425
0.5083612040133779,0.41738014545676294,0.6120618343908769,0.8095974958503077
0.5117056856187291,0.4189369110077004,0.6141322132694021,0.811498336930045
0.5150501672240803,0.42048951686692526,0.6161915427872804,0.8133802013853595
0.5183946488294314,0.42203797414917155,0.6182398819136071,0.8152432786651631
0.5217391304347826,0.42358229393947466,0.6202772893027677,0.8170877563270469
0.5250836120401338,0.4251224872932506,0.6223038232961157,0.8189138200561621
0.5284280936454849,0.42665856523637546,0.624319541923644,0.8207216536839138
0.5317725752508361,0.428190538765264,0.6263245029056468,0.822511439206467
0.5351170568561873,0.42971841884694817,0.6283187636543717,0.8242833568030683
0.5384615384615384,0.43124221641915633,0.6303023812756643,0.8260375848541851
0.5418060200668896,0.43276194239039084,0.6322754125706032,0.8277742999594628
0.5451505016722408,0.43427760764000656,0.6342379140371264,0.8294936769555038
0.5484949832775919,0.4357892230182886,0.6361899418716497,0.8311958889334676
0.5518394648829431,0.43729679934653,0.638131551970675,0.8328811072564974
0.5551839464882943,0.4388003474171091,0.6400627999323916,0.8345495015769697
0.5585284280936454,0.4402998779935672,0.6419837410582677,0.8362012398535749
0.5618729096989966,0.44179540181068494,0.6438944303546348,0.8378364883682244
0.5652173913043478,0.44328692957456,0.6457949225342619,0.8394554117427921
0.568561872909699,0.44477447196268277,0.6476852720179226,0.841058172955685
0.5719063545150501,0.44625803962401356,0.6495655329359536,0.842644933358252
