# t,rho,B,strain,J
5.129999999999999893e+00,1.097905389782908581e-01,9.869413593780584915e-01,2.552406986475532023e-03,8.101060631704745107e-01
5.160000000000000142e+00,1.098397197542420184e-01,9.868547089370676151e-01,2.552410158422809775e-03,8.099622604278956528e-01
5.189999999999999503e+00,1.098882482482003986e-01,9.867680838718640990e-01,2.552086389947931001e-03,8.098194554501448872e-01
5.219999999999999751e+00,1.099361317212347727e-01,9.866814888734992683e-01,2.551435479524062720e-03,8.096776408779007284e-01
5.250000000000000000e+00,1.099833773569163231e-01,9.865949286277295727e-01,2.550457286470964903e-03,8.095368094722776853e-01
5.279999999999999361e+00,1.100299922622852283e-01,9.865084078142558610e-01,2.549151730772931685e-03,8.093969541125821676e-01
5.309999999999999609e+00,1.100759834688025129e-01,9.864219311059632123e-01,2.547518792886575324e-03,8.092580677940993672e-01
5.339999999999999858e+00,1.101213579332873810e-01,9.863355031681624308e-01,2.545558513538536630e-03,8.091201436259054525e-01
5.370000000000000107e+00,1.101661225388403109e-01,9.862491286578389804e-01,2.543270993513096264e-03,8.089831748287074076e-01
5.399999999999999467e+00,1.102102840957521340e-01,9.861628122228995874e-01,2.540656393429889439e-03,8.088471547327131805e-01
5.429999999999999716e+00,1.102538493423993321e-01,9.860765585014259482e-01,2.537714933511642929e-03,8.087120767755241468e-01
5.459999999999999964e+00,1.102968249461257211e-01,9.859903687667219696e-01,2.534698352897956242e-03,8.085779345000575491e-01
5.490000000000000213e+00,1.103392174995729419e-01,9.859042385959935206e-01,2.532033361895451046e-03,8.084447188022718667e-01
5.519999999999999574e+00,1.103810335138960264e-01,9.858181724845586080e-01,2.529051261929846778e-03,8.083124160260221069e-01
5.549999999999999822e+00,1.104222794318211187e-01,9.857321749167831104e-01,2.525752378319597903e-03,8.081810199553336460e-01
5.580000000000000071e+00,1.104629616284769078e-01,9.856462503653864449e-01,2.522137091853265262e-03,8.080505244728828362e-01
5.609999999999999432e+00,1.105030864122135970e-01,9.855604032907523404e-01,2.518205838518338888e-03,8.079209235580728787e-01
5.639999999999999680e+00,1.105426600254096614e-01,9.854746339046960291e-01,2.514277103501342571e-03,8.077922112851341208e-01
5.669999999999999929e+00,1.105816886395387805e-01,9.853889352639064736e-01,2.510887834676573359e-03,8.076643783499263263e-01
5.700000000000000178e+00,1.106201783463597182e-01,9.853033116885061560e-01,2.507192404908464064e-03,8.075374096962338877e-01
5.729999999999999538e+00,1.106581351741062758e-01,9.852177674862169221e-01,2.503191274726934874e-03,8.074112996235947026e-01
5.759999999999999787e+00,1.106955650882491954e-01,9.851322914766168504e-01,2.500048236001873366e-03,8.072860425209762436e-01
5.790000000000000036e+00,1.107324739713256290e-01,9.850468851889335742e-01,2.496808154576864863e-03,8.071616201855916772e-01
5.819999999999999396e+00,1.107688676411104078e-01,9.849615372429199045e-01,2.494442286175596601e-03,8.070380249584269139e-01
5.849999999999999645e+00,1.108047518339521642e-01,9.848762376774666816e-01,2.492844708719236645e-03,8.069152387060775089e-01
5.879999999999999893e+00,1.108401322076605910e-01,9.847909670455319286e-01,2.492730853496318618e-03,8.067932445859625767e-01
5.910000000000000142e+00,1.108750143296206442e-01,9.847057014936944075e-01,2.494434599633516252e-03,8.066720181088289365e-01
5.939999999999999503e+00,1.109094036719019544e-01,9.846204160215978884e-01,2.498043399218314795e-03,8.065515313187582302e-01
5.969999999999999751e+00,1.109433056108254378e-01,9.845350933286056705e-01,2.502978378730671277e-03,8.064317554706389446e-01
6.000000000000000000e+00,1.109767254384871199e-01,9.844497278101457249e-01,2.508358135710324951e-03,8.063126682759471642e-01
6.029999999999999361e+00,1.110096683795517847e-01,9.843643131411315972e-01,2.514237071150179394e-03,8.061942571564956195e-01
6.059999999999999609e+00,1.110421395910813069e-01,9.842788522940061346e-01,2.519913944204828834e-03,8.060765090492556517e-01
6.089999999999999858e+00,1.110741441758985038e-01,9.841933332897685460e-01,2.526516001237652260e-03,8.059594186097018831e-01
6.120000000000000107e+00,1.111056871630406312e-01,9.841077603804629925e-01,2.532819446437895288e-03,8.058429683353548478e-01
6.149999999999999467e+00,1.111367735305534149e-01,9.840221378314847334e-01,2.538822846694579506e-03,8.057271541278198113e-01
6.179999999999999716e+00,1.111674082061231278e-01,9.839364690783402034e-01,2.544588354535525475e-03,8.056119719784844424e-01
6.209999999999999964e+00,1.111975960665612800e-01,9.838507446330112538e-01,2.551090135860190067e-03,8.054974172772018104e-01
6.240000000000000213e+00,1.112273419209589276e-01,9.837649688821409333e-01,2.557282135157887184e-03,8.053834749132504633e-01
6.269999999999999574e+00,1.112566505302204911e-01,9.836791462254822482e-01,2.563162939361840389e-03,8.052701412384081214e-01
6.299999999999999822e+00,1.112855266076591548e-01,9.835932810751770727e-01,2.568731190788025014e-03,8.051574126895546524e-01
6.330000000000000071e+00,1.113139748195835221e-01,9.835073778550380563e-01,2.573985587263472215e-03,8.050452857871430723e-01
6.359999999999999432e+00,1.113419997858756949e-01,9.834214409998253137e-01,2.578924882245561129e-03,8.049337571336866448e-01
6.389999999999999680e+00,1.113696060805607624e-01,9.833354730350652995e-01,2.583691853902658157e-03,8.048228234122566382e-01
6.419999999999999929e+00,1.113967982297761894e-01,9.832494665877385964e-01,2.589032267495130872e-03,8.047124798142060165e-01
6.450000000000000178e+00,1.114235806989751776e-01,9.831634239748734405e-01,2.594216624399917504e-03,8.046027135046911472e-01
6.479999999999999538e+00,1.114499579067176893e-01,9.830773496801793465e-01,2.599081222815278862e-03,8.044935196718412396e-01
6.509999999999999787e+00,1.114759342281508858e-01,9.829912481957971959e-01,2.603625012655894164e-03,8.043848953488997866e-01
6.540000000000000036e+00,1.115015139955365248e-01,9.829051240215598284e-01,2.607847000894560844e-03,8.042768376428286459e-01
6.569999999999999396e+00,1.115267014987705169e-01,9.828189816642524113e-01,2.611746251603270196e-03,8.041693437328758520e-01
6.599999999999999645e+00,1.115515009858948081e-01,9.827328256368723647e-01,2.615321885984765032e-03,8.040624108691575289e-01
6.629999999999999893e+00,1.115759166636016847e-01,9.826466604578900643e-01,2.618573082394756290e-03,8.039560363712513480e-01
6.660000000000000142e+00,1.115999526977305423e-01,9.825604906505098768e-01,2.621499076354508011e-03,8.038502176268027544e-01
6.689999999999999503e+00,1.116236132137573556e-01,9.824743207419291968e-01,2.624099160554160207e-03,8.037449520901442934e-01
6.719999999999999751e+00,1.116469022972768482e-01,9.823881552626019253e-01,2.626372684846316891e-03,8.036402372809248185e-01
6.750000000000000000e+00,1.116698239944774740e-01,9.823019987454987278e-01,2.628319056230293913e-03,8.035360707827543525e-01
6.779999999999999361e+00,1.116923823126093618e-01,9.822158557253697353e-01,2.629937738826758180e-03,8.034324502418573877e-01
6.809999999999999609e+00,1.117145812204452665e-01,9.821297307380085773e-01,2.631228253842879221e-03,8.033293733657407287e-01
6.839999999999999858e+00,1.117364246487346641e-01,9.820436283195153049e-01,2.632190179527950195e-03,8.032268379218724386e-01
6.870000000000000107e+00,1.117579164906510603e-01,9.819575512967851916e-01,2.632952044329025295e-03,8.031248417363715530e-01
6.899999999999999467e+00,1.117790605999269271e-01,9.818714989085559619e-01,2.633784207540044303e-03,8.030233812953110339e-01
6.929999999999999716e+00,1.117998607864730543e-01,9.817854757801602883e-01,2.634280188977653099e-03,8.029224502111216299e-01
6.959999999999999964e+00,1.118203208241542040e-01,9.816994865345820553e-01,2.634439769393000404e-03,8.028220465682145424e-01
6.989999999999999325e+00,1.118404444512080820e-01,9.816135357916898618e-01,2.634262789060262504e-03,8.027221685043899324e-01
7.019999999999999574e+00,1.118602353706579372e-01,9.815276281674709669e-01,2.633749147663857169e-03,8.026228142095596096e-01
7.049999999999999822e+00,1.118796972507189874e-01,9.814417682732688997e-01,2.632898804175367626e-03,8.025239819244798234e-01
7.080000000000000071e+00,1.118988337251986681e-01,9.813559607150221797e-01,2.631711776720174843e-03,8.024256699394980430e-01
7.109999999999999432e+00,1.119176483938907340e-01,9.812702100925061455e-01,2.630188142433819397e-03,8.023278765933096190e-01
7.139999999999999680e+00,1.119361448229634487e-01,9.811845209985747829e-01,2.628328037308154917e-03,8.022306002717262130e-01
7.169999999999999929e+00,1.119543265453418757e-01,9.810988921469157020e-01,2.626573315022560223e-03,8.021338394064552180e-01
7.199999999999999289e+00,1.119721970531644684e-01,9.810133241722220898e-01,2.624779384107552883e-03,8.020375876740108989e-01
7.229999999999999538e+00,1.119897598008424838e-01,9.809278215393708589e-01,2.622657924966002689e-03,8.019418403836858777e-01
7.259999999999999787e+00,1.120070182106603640e-01,9.808423887043463685e-01,2.620209235803019985e-03,8.018465960334456577e-01
7.290000000000000036e+00,1.120239756731364195e-01,9.807570301135367652e-01,2.617433669928334768e-03,8.017518531631944168e-01
7.319999999999999396e+00,1.120406355473781562e-01,9.806717502030309896e-01,2.614331635546928573e-03,8.016576103536410258e-01
7.349999999999999645e+00,1.120570011614320793e-01,9.805865533979204463e-01,2.610903595540522201e-03,8.015638662251752811e-01
7.379999999999999893e+00,1.120730758126283061e-01,9.805014441116031154e-01,2.607150067240119641e-03,8.014706194367556824e-01
7.410000000000000142e+00,1.120888627679198779e-01,9.804164267450923287e-01,2.603071622189431691e-03,8.013778686848080923e-01
7.439999999999999503e+00,1.121043652642169514e-01,9.803315056863283194e-01,2.598668885899484138e-03,8.012856127021354968e-01
7.469999999999999751e+00,1.121195865087158822e-01,9.802466767817629156e-01,2.594585319036431335e-03,8.011938502568399789e-01
7.500000000000000000e+00,1.121345296677240394e-01,9.801619392215673576e-01,2.590568948492829107e-03,8.011025731820000662e-01
7.529999999999999361e+00,1.121491978716320087e-01,9.800772972540553463e-01,2.586238382117390065e-03,8.010117761055642882e-01
7.559999999999999609e+00,1.121635942221428511e-01,9.799927551137723736e-01,2.581594312020311054e-03,8.009214578437741094e-01
7.589999999999999858e+00,1.121777217925834375e-01,9.799083170208632287e-01,2.576637480183827274e-03,8.008316172454768012e-01
7.620000000000000107e+00,1.121915836282110918e-01,9.798239804298199962e-01,2.571878389866963464e-03,8.007422531911289054e-01
7.649999999999999467e+00,1.122051827374138389e-01,9.797397394973532680e-01,2.567566054443908875e-03,8.006533590756047536e-01
7.679999999999999716e+00,1.122185220876814465e-01,9.796555983134804801e-01,2.562950539504353122e-03,8.005649256551876647e-01
7.709999999999999964e+00,1.122316046194581363e-01,9.795715541516166747e-01,2.558546985109897819e-03,8.004769518647616433e-01
7.739999999999999325e+00,1.122444332372622283e-01,9.794875986317304051e-01,2.554782939036528890e-03,8.003894311107827564e-01
7.769999999999999574e+00,1.122570108024700114e-01,9.794037259530590234e-01,2.551464530031691096e-03,8.003023522350557473e-01
7.799999999999999822e+00,1.122693401372761857e-01,9.793199237780797484e-01,2.549087303295154844e-03,8.002157062520767195e-01
7.830000000000000071e+00,1.122814240163215321e-01,9.792361712200181589e-01,2.548301194639338713e-03,8.001294788949789849e-01
7.859999999999999432e+00,1.122932651556980410e-01,9.791524440715090316e-01,2.549360759624974115e-03,8.000436489838749221e-01
7.889999999999999680e+00,1.123048662091211819e-01,9.790687201942056550e-01,2.552111193067209492e-03,7.999581927140948512e-01
7.919999999999999929e+00,1.123162297714083435e-01,9.789849847899525503e-01,2.555996398439679303e-03,7.998730880650110064e-01
7.949999999999999289e+00,1.123273583890243982e-01,9.789012322164272195e-01,2.560321487943333259e-03,7.997883191010237702e-01
7.979999999999999538e+00,1.123382545729597337e-01,9.788174499540293061e-01,2.565609058026662413e-03,7.997038774389129134e-01
8.009999999999999787e+00,1.123489207898567682e-01,9.787336390013710030e-01,2.570832571613111770e-03,7.996197491306284988e-01
8.039999999999999147e+00,1.123593594807233559e-01,9.786498013159292686e-01,2.575918968393004632e-03,7.995359313377896626e-01
8.070000000000000284e+00,1.123695730625145495e-01,9.785659258985353048e-01,2.581852242304933428e-03,7.994524220439824802e-01
8.099999999999999645e+00,1.123795639109409356e-01,9.784820169334349504e-01,2.587479428867380145e-03,7.993692086851046374e-01
8.129999999999999005e+00,1.123893343813906626e-01,9.783980786161190490e-01,2.592799357156126087e-03,7.992862911616150923e-01
8.160000000000000142e+00,1.123988868091755355e-01,9.783141151527011692e-01,2.597810903679948023e-03,7.992036694138916486e-01
8.189999999999999503e+00,1.124082235097733362e-01,9.782301231167093158e-01,2.603093366712259417e-03,7.991213434213541023e-01
8.219999999999998863e+00,1.124173467687660799e-01,9.781461001722753235e-01,2.608563988659547399e-03,7.990393069589641906e-01
