Delta_sem,policy_preservation,false_merging,proxy_meaning,unsupported_completion
1.357983193277311,0.02819759060880526,0.9922162214967581,0.9543451679714515,0.9456219537832323
1.3714285714285714,0.026412691899451033,0.992815161252036,0.9571864212459579,0.9502634884414434
1.3848739495798321,0.024737900649110117,0.9933683223159426,0.9598582912435432,0.9545278880822244
1.3983193277310926,0.023166778565134067,0.9938791580444637,0.9623699728813676,0.9584426487038695
1.411764705882353,0.021693220065519516,0.994350868056423,0.9647302723506626,0.9620337870782139
1.4252100840336135,0.020311440616018795,0.9947864158677794,0.9669476094378248,0.9653258275089817
1.438655462184874,0.019015964716410858,0.9951885454530578,0.9690300220203294,0.9683418095012273
1.4521008403361346,0.017801613673535582,0.9955597967751447,0.970985172394913,0.9711033122432401
1.465546218487395,0.016663493279433193,0.9959025203273301,0.9728203551287896,0.9736304923090613
1.4789915966386555,0.015596981495551984,0.9962188907331533,0.9745425061564944,0.9759421314744284
1.492436974789916,0.014597716228394682,0.9965109194504412,0.9761582128750653,0.9780556919913015
1.5058823529411764,0.013661583268053003,0.9967804666261144,0.9776737250184719,0.9799873770800451
1.5193277310924371,0.012784704448717965,0.9970292521479783,0.9790949661183909,0.9817521947708772
1.5327731092436976,0.011963426079328642,0.9972588659389326,0.9804275453825796,0.9833640235567446
1.546218487394958,0.011194307682916191,0.9974707775379195,0.9816767698442043,0.9848356786094152
1.5596638655462185,0.010474111074797322,0.997666345010571,0.9828476566555896,0.9861789775614546
1.5731092436974792,0.00979978980245845,0.9978468232309529,0.9839449454180491,0.9874048050717942
1.5865546218487396,0.00916847896364338,0.9980133715741313,0.9849731104558198,0.9885231755750549
1.6,0.008577485413711984,0.9981670610575072,0.9859363729567544,0.9895432937680818
