sample,min_mu,min_Sigma,max_Xhat,physical_ok
265,1.019469435047434,1.0,0.9999946332835703,True
266,1.3532023964676347,1.0,0.9999998097747136,True
267,1.2756497505451507,1.0,0.999996275316562,True
268,1.3975391112257545,1.0,0.9999939467740329,True
269,1.0928166247059155,1.0,0.9999939684064306,True
270,1.2663795599853458,1.0,0.9999994068198896,True
271,1.0996298754449076,1.0,0.999998944125933,True
272,1.2805402243773247,1.0,0.9999925799924819,True
273,1.1330686187354613,1.0,0.9999972494517674,True
274,1.0106853494132957,1.0,0.9999999919699989,True
275,1.134282054820127,1.0,0.9999994471802207,True
276,1.1393458836327794,1.0,0.9999971878301729,True
277,1.0345012173936967,1.0,0.9999930425303318,True
278,1.158775684269868,1.0,0.9999997213366755,True
279,1.320736568393421,1.0,0.9999954377502824,True
280,1.1989832012641548,1.0,0.9999923689889793,True
281,1.1670192249657116,1.0,0.9999998409334235,True
282,1.0291981279948974,1.0,0.9999998283323477,True
283,1.0226412031107426,1.0,0.9999965533527384,True
284,1.1220459611114617,1.0,0.9999995163673764,True
285,1.2827306191877255,1.0,0.9999999071119875,True
286,1.2393296944806778,1.0,0.9999936528958631,True
287,1.0583488401766084,1.0,0.9999958276228021,True
288,1.2160085892300638,1.0,0.9999988115023324,True
289,1.229020242246302,1.0,0.9999996332837711,True
290,1.1810310279462426,1.0,0.999996120527275,True
291,1.31767422138549,1.0,0.9999947911918025,True
292,1.3724058865230693,1.0,0.9999999999236113,True
293,1.1980800686511317,1.0,0.99999666926744,True
294,1.1203288757493788,1.0,0.9999910432462186,True
295,1.2992113302914827,1.0,0.9999974085250172,True
296,1.269617575911334,1.0,0.9999950894761719,True
297,1.1189091142561107,1.0,0.9999986288036394,True
298,1.108885979628914,1.0,0.9999944474404113,True
299,1.2865897443530883,1.0,0.9999950627354178,True
300,1.2327901842984947,1.0,0.9999993562938518,True
301,1.366751400351224,1.0,0.9999997351845721,True
302,1.133197397696207,1.0,0.9999991678801449,True
303,1.3803611350615206,1.0,0.99999455417858,True
304,1.2580363770814111,1.0,0.9999934930854808,True
305,1.201237078290438,1.0,0.9999981410365644,True
306,1.0936653383967858,1.0,0.9999947978887153,True
307,1.1866611352918086,1.0,0.9999987102279839,True
308,0.9599403708682115,1.0,0.9999909362570608,True
