leakage_strength,I_over_H,mismatch_entropy_over_H,schematic_error_proxy,epsilon
0.5800000000000001,0.9124898069147129,0.08751019308528708,0.08751019308528708,0.08
0.5833333333333334,0.9137064135006295,0.0862935864993705,0.0862935864993705,0.08
0.5866666666666667,0.9149061062673359,0.08509389373266411,0.08509389373266411,0.08
0.5900000000000001,0.916089120358455,0.08391087964154496,0.08391087964154496,0.08
0.5933333333333334,0.9172556876485359,0.08274431235146408,0.08274431235146408,0.08
0.5966666666666667,0.9184060367885021,0.08159396321149794,0.08159396321149794,0.08
0.6000000000000001,0.9195403932504675,0.0804596067495324,0.0804596067495324,0.08
0.6033333333333334,0.9206589793719305,0.0793410206280695,0.0793410206280695,0.08
0.6066666666666667,0.9217620143993516,0.07823798560064842,0.07823798560064842,0.08
0.61,0.9228497145311274,0.07715028546887258,0.07715028546887258,0.08
0.6133333333333334,0.9239222929599661,0.07607770704003396,0.07607770704003396,0.08
0.6166666666666667,0.9249799599146731,0.07502004008532694,0.07502004008532694,0.08
0.62,0.9260229227013577,0.07397707729864236,0.07397707729864236,0.08
0.6233333333333334,0.9270513857440649,0.07294861425593513,0.07294861425593513,0.08
0.6266666666666667,0.9280655506248435,0.07193444937515645,0.07193444937515645,0.08
0.63,0.9290656161232571,0.07093438387674292,0.07093438387674292,0.08
0.6333333333333334,0.9300517782553447,0.06994822174465533,0.06994822174465533,0.08
0.6366666666666667,0.9310242303120413,0.06897576968795875,0.06897576968795875,0.08
0.64,0.9319831628970632,0.06801683710293688,0.06801683710293688,0.08
0.6433333333333334,0.9329287639642668,0.06707123603573316,0.06707123603573316,0.08
0.6466666666666667,0.9338612188544888,0.06613878114551125,0.06613878114551125,0.08
0.65,0.9347807103318725,0.0652192896681275,0.0652192896681275,0.08
0.6533333333333333,0.9356874186196912,0.06431258138030878,0.06431258138030878,0.08
0.6566666666666667,0.9365815214356721,0.06341847856432793,0.06341847856432793,0.08
0.66,0.9374631940268292,0.06253680597317074,0.06253680597317074,0.08
0.6633333333333333,0.9383326092038132,0.061667390796186744,0.061667390796186744,0.08
0.6666666666666667,0.9391899373747821,0.06081006262521795,0.06081006262521795,0.08
0.67,0.9400353465788017,0.05996465342119825,0.05996465342119825,0.08
0.6733333333333333,0.9408690025187828,0.05913099748121722,0.05913099748121722,0.08
0.6766666666666667,0.9416910685939582,0.058308931406041764,0.058308931406041764,0.08
0.68,0.9425017059319105,0.057498294068089456,0.057498294068089456,0.08
0.6833333333333333,0.9433010734201531,0.0566989265798469,0.0566989265798469,0.08
0.6866666666666668,0.9440893277372727,0.05591067226272733,0.05591067226272733,0.08
0.6900000000000001,0.9448666233836389,0.05513337661636111,0.05513337661636111,0.08
0.6933333333333334,0.9456331127116868,0.0543668872883132,0.0543668872883132,0.08
0.6966666666666667,0.9463889459557785,0.053611054044221465,0.053611054044221465,0.08
0.7000000000000001,0.9471342712616496,0.05286572873835034,0.05286572873835034,0.08
0.7033333333333334,0.9478692347154462,0.05213076528455389,0.05213076528455389,0.08
0.7066666666666667,0.9485939803723578,0.051406019627642255,0.051406019627642255,0.08
0.7100000000000001,0.9493086502848536,0.05069134971514647,0.05069134971514647,0.08
0.7133333333333334,0.9500133845305241,0.049986615469475866,0.049986615469475866,0.08
0.7166666666666667,0.9507083212395379,0.04929167876046215,0.04929167876046215,0.08
0.7200000000000001,0.9513935966217144,0.04860640337828558,0.04860640337828558,0.08
0.7233333333333334,0.9520693449932225,0.0479306550067775,0.0479306550067775,0.08
0.7266666666666667,0.9527356988029062,0.047264301197093746,0.047264301197093746,0.08
0.7300000000000001,0.9533927886582456,0.04660721134175436,0.04660721134175436,0.08
0.7333333333333334,0.9540407433509558,0.04595925664904418,0.04595925664904418,0.08
0.7366666666666667,0.954679689882231,0.04532031011776909,0.04532031011776909,0.08
0.7400000000000001,0.9553097534876366,0.04469024651236342,0.04469024651236342,0.08
0.7433333333333334,0.9559310576616565,0.044068942338343506,0.044068942338343506,0.08
0.7466666666666667,0.9565437241818978,0.04345627581810221,0.04345627581810221,0.08
0.75,0.9571478731329598,0.042852126867040166,0.042852126867040166,0.08
0.7533333333333334,0.9577436229299711,0.042256377070028904,0.042256377070028904,0.08
0.7566666666666667,0.958331090341799,0.04166890965820102,0.04166890965820102,0.08
0.76,0.9589103905139369,0.04108960948606308,0.04108960948606308,0.08
0.7633333333333334,0.9594816369910733,0.04051836300892679,0.04051836300892679,0.08
0.7666666666666667,0.9600449417393461,0.039955058260653896,0.039955058260653896,0.08
0.77,0.9606004151682896,0.039399584831710376,0.039399584831710376,0.08
0.7733333333333334,0.9611481661524741,0.03885183384752589,0.03885183384752589,0.08
0.7766666666666667,0.961688302052846,0.03831169794715403,0.03831169794715403,0.08
0.78,0.9622209287377709,0.037779071262229125,0.037779071262229125,0.08
0.7833333333333334,0.9627461506037842,0.03725384939621579,0.03725384939621579,0.08
0.7866666666666667,0.9632640705960531,0.0367359294039469,0.0367359294039469,0.08
0.79,0.9637747902285541,0.03622520977144589,0.03622520977144589,0.08
0.7933333333333333,0.9642784096039702,0.035721590396029824,0.035721590396029824,0.08
0.7966666666666667,0.9647750274333111,0.035224972566688835,0.035224972566688835,0.08
0.8,0.9652647410552615,0.03473525894473855,0.03473525894473855,0.08
0.8033333333333333,0.9657476464552587,0.0342523535447413,0.0342523535447413,0.08
0.8066666666666668,0.9662238382843072,0.03377616171569272,0.03377616171569272,0.08
0.81,0.9666934098775302,0.03330659012246988,0.03330659012246988,0.08
0.8133333333333334,0.9671564532724628,0.03284354672753725,0.03284354672753725,0.08
0.8166666666666668,0.967613059227093,0.032386940772907026,0.032386940772907026,0.08
0.8200000000000001,0.9680633172376496,0.03193668276235038,0.03193668276235038,0.08
