t,memory+external,channel,causal-boundary,thermodynamic,Cacc,active_bottleneck
48.0,5.0,3.7239372942191795,4.844686724723945,4.886511180517177,3.7239372942191795,channel
48.1,5.0,3.723475667631745,4.837052193978222,4.886239938124889,3.723475667631745,channel
48.2,5.0,3.723022709480807,4.829283363799517,4.885963267040948,3.723022709480807,channel
48.300000000000004,5.0,3.722578265938132,4.821379151154472,4.8856810596557105,3.722578265938132,channel
48.400000000000006,5.0,3.7221421855624657,4.813338521016195,4.885393206268724,3.7221421855624657,channel
48.5,5.0,3.7217143192759026,4.805160489048249,4.885099595049829,3.7217143192759026,channel
48.6,5.0,3.7212945203399155,4.796844124321419,4.884800111999602,3.7212945203399155,channel
48.7,5.0,3.7208826443310796,4.788388552059038,4.884494640909135,3.7208826443310796,channel
48.800000000000004,5.0,3.7204785491165238,4.779792956406304,4.8841830633191545,3.7204785491165238,channel
48.900000000000006,5.0,3.720082094829129,4.771056583218758,4.883865258478455,3.720082094829129,channel
49.0,5.0,3.719693143842518,4.762178742864744,4.883541103301649,3.719693143842518,channel
49.1,5.0,3.7193115607458433,4.7531588130363795,4.883210472326231,3.7193115607458433,channel
49.2,5.0,3.718937212318422,4.743996241563249,4.88287323766893,3.718937212318422,channel
49.300000000000004,5.0,3.718569967504216,4.734690549222736,4.882529268981366,3.718569967504216,channel
49.400000000000006,5.0,3.718209697386207,4.7252413325405955,4.882178433404979,3.718209697386207,channel
49.5,5.0,3.7178562751606696,4.715648266575091,4.881820595525248,3.7178562751606696,channel
49.6,5.0,3.717509576111374,4.705911107677727,4.881455617325167,3.717509576111374,channel
49.7,5.0,3.7171694775837327,4.696029696223354,4.881083358137992,3.7171694775837327,channel
49.800000000000004,5.0,3.716835858958919,4.68600395930214,4.8807036745992445,3.716835858958919,channel
49.900000000000006,5.0,3.716508601627969,4.675833913365677,4.880316420597952,3.716508601627969,channel
50.0,5.0,3.7161875889658824,4.665519666819259,4.8799214472271455,3.7161875889658824,channel
50.1,5.0,3.715872706305751,4.655061422552173,4.879518602733586,3.715872706305751,channel
50.2,5.0,3.715563840912915,4.644459480397642,4.879107732466714,3.715563840912915,channel
50.300000000000004,5.0,3.715260881959181,4.633714239513918,4.878688678826834,3.715260881959181,channel
50.400000000000006,5.0,3.7149637204970936,4.622826200677866,4.878261281212506,3.7149637204970936,channel
50.5,5.0,3.714672249434297,4.611795968482308,4.877825375967155,3.714672249434297,channel
50.6,5.0,3.7143863635079826,4.600624253428283,4.87738079632488,3.7143863635079826,channel
50.7,5.0,3.714105959259444,4.589311873903366,4.876927372355476,3.714105959259444,channel
50.800000000000004,5.0,3.7138309350087484,4.577859758037169,4.876464930908633,3.7138309350087484,channel
50.900000000000006,5.0,3.713561190829534,4.566268945425156,4.875993295557351,3.713561190829534,channel
51.0,5.0,3.713296628523946,4.554540588712012,4.875512286540521,3.713296628523946,channel
51.1,5.0,3.71303715159772,4.54267595502587,4.875021720704699,3.71303715159772,channel
51.2,5.0,3.712782665235422,4.530676427254871,4.874521411445067,3.712782665235422,channel
51.300000000000004,5.0,3.7125330762758506,4.518543505157703,4.874011168645561,3.7125330762758506,channel
51.400000000000006,5.0,3.712288293187616,4.506278806300009,4.873490798618177,3.712288293187616,channel
51.5,5.0,3.7120482260448986,4.493884066808827,4.872960104041457,3.7120482260448986,channel
51.6,5.0,3.7118127865033927,4.481361141937535,4.872418883898136,3.7118127865033927,channel
51.7,5.0,3.7115818877764473,4.468712006434156,4.87186693341197,3.7115818877764473,channel
51.800000000000004,5.0,3.7113554446114048,4.45593875470627,4.871304043983725,3.7113554446114048,channel
51.900000000000006,5.0,3.7111333732661462,4.4430436007762335,4.870730003126346,3.7111333732661462,channel
52.0,5.0,3.710915591485847,4.430028878020943,4.870144594399288,3.710915591485847,channel
52.1,5.0,3.7107020184799486,4.416897038690851,4.869547597342022,3.7107020184799486,channel
52.2,5.0,3.71049257489935,4.403650653203599,4.868938787406725,3.71049257489935,channel
