t,R_target_bits,Cacc_bits,Delta_FDS_bits,Qdot_over_kBT
27.1,3.9828921423310435,4.276960665701335,0.0,0.0
27.200000000000003,3.9828921423310435,4.27280728625341,0.0,0.0
27.3,3.9828921423310435,4.268631175962491,0.0,0.0
27.400000000000002,3.9828921423310435,4.264432989681875,0.0,0.0
27.5,3.9828921423310435,4.260213398081669,0.0,0.0
27.6,3.9828921423310435,4.255973087292324,0.0,0.0
27.700000000000003,3.9828921423310435,4.251712758525402,0.0,0.0
27.8,3.9828921423310435,4.247433127671862,0.0,0.0
27.900000000000002,3.9828921423310435,4.2431349248782535,0.0,0.0
28.0,3.9828921423310435,4.238818894101207,0.0,0.0
28.1,3.9828921423310435,4.234485792640728,0.0,0.0
28.200000000000003,3.9828921423310435,4.230136390652798,0.0,0.0
28.3,3.9828921423310435,4.225771470641867,0.0,0.0
28.400000000000002,3.9828921423310435,4.221391826933874,0.0,0.0
28.5,3.9828921423310435,4.216998265130493,0.0,0.0
28.6,3.9828921423310435,4.212591601545306,0.0,0.0
28.700000000000003,3.9828921423310435,4.208172662622726,0.0,0.0
28.8,3.9828921423310435,4.203742284340473,0.0,0.0
28.900000000000002,3.9828921423310435,4.199301311596493,0.0,0.0
29.0,3.9828921423310435,4.19485059758123,0.0,0.0
29.1,3.9828921423310435,4.190391003136222,0.0,0.0
29.200000000000003,3.9828921423310435,4.185923396100009,0.0,0.0
29.3,3.9828921423310435,4.181448650642393,0.0,0.0
29.400000000000002,3.9828921423310435,4.176967646588114,0.0,0.0
29.5,3.9828921423310435,4.172481268731046,0.0,0.0
29.6,3.9828921423310435,4.1679904061400235,0.0,0.0
29.700000000000003,3.9828921423310435,4.1634959514574685,0.0,0.0
29.8,3.9828921423310435,4.158998800191969,0.0,0.0
29.900000000000002,3.9828921423310435,4.154499850005999,0.0,0.0
30.0,3.9828921423310435,4.15,0.0,0.0
30.1,3.9828921423310435,4.145500149994,0.0,0.0
30.200000000000003,3.9828921423310435,4.141001199808031,0.0,0.0
30.3,3.9828921423310435,4.13650404854253,0.0,0.0
30.400000000000002,3.9828921423310435,4.132009593859976,0.0,0.0
30.5,3.9828921423310435,4.127518731268954,0.0,0.0
30.6,3.9828921423310435,4.123032353411885,0.0,0.0
30.700000000000003,3.9828921423310435,4.118551349357607,0.0,0.0
30.8,3.9828921423310435,4.114076603899991,0.0,0.0
30.900000000000002,3.9828921423310435,4.109608996863778,0.0,0.0
31.0,3.9828921423310435,4.105149402418769,0.0,0.0
31.1,3.9828921423310435,4.100698688403506,0.0,0.0
31.200000000000003,3.9828921423310435,4.096257715659526,0.0,0.0
31.3,3.9828921423310435,4.091827337377274,0.0,0.0
31.400000000000002,3.9828921423310435,4.087408398454694,0.0,0.0
31.5,3.9828921423310435,4.083001734869507,0.0,0.0
31.6,3.9828921423310435,4.078608173066126,0.0,0.0
31.700000000000003,3.9828921423310435,4.074228529358133,0.0,0.0
31.8,3.9828921423310435,4.069863609347202,0.0,0.0
31.900000000000002,3.9828921423310435,4.065514207359271,0.0,0.0
32.0,3.9828921423310435,4.061181105898793,0.0,0.0
32.1,3.9828921423310435,4.056865075121746,0.0,0.0
32.2,3.9828921423310435,4.0525668723281365,0.0,0.0
32.300000000000004,3.9828921423310435,4.048287241474598,0.0,0.0
32.4,3.9828921423310435,4.044026912707676,0.0,0.0
32.5,3.9828921423310435,4.039786601918331,0.0,0.0
32.6,3.9828921423310435,4.035567010318124,0.0,0.0
32.7,3.9828921423310435,4.031368824037508,0.0,0.0
32.800000000000004,3.9828921423310435,4.02719271374659,0.0,0.0
32.9,3.9828921423310435,4.023039334298665,0.0,0.0
33.0,3.9828921423310435,4.018909324396784,0.0,0.0
33.1,3.9828921423310435,4.0148033062835555,0.0,0.0
33.2,3.9828921423310435,4.010721885454313,0.0,0.0
33.300000000000004,3.9828921423310435,4.006665650393753,0.0,0.0
33.4,3.9828921423310435,4.002635172336083,0.0,0.0
33.5,3.9828921423310435,3.9986310050486504,0.0,0.0
33.6,3.9828921423310435,3.9946536846390157,0.0,0.0
33.7,3.9828921423310435,3.9907037293853294,0.0,0.0
33.800000000000004,3.9828921423310435,3.9867816395898767,0.0,0.0
33.9,3.9828921423310435,3.9828878974555715,4.2448754720147974e-06,2.942323465255124e-06
34.0,3.9828921423310435,3.979022966985149,0.0038691753458945932,0.002681907982098888
34.1,3.9828921423310435,3.9751872939027724,0.007704848428271127,0.0053405939646978574
34.2,3.9828921423310435,3.971381305597715,0.011510836733328311,0.007978704027592369
34.300000000000004,3.9828921423310435,3.9676054110897416,0.015286731241301865,0.01059595465988602
34.4,3.9828921423310435,3.963860001015789,0.019032141315254325,0.013192075092686984
34.5,3.9828921423310435,3.9601454476374967,0.022746694693546843,0.01576680729388986
34.6,3.9828921423310435,3.956462104869109,0.026430037461934397,0.018319905948833558
34.7,3.9828921423310435,3.9528103083252546,0.0300818340057889,0.02085113842718486
34.800000000000004,3.9828921423310435,3.9491903753880493,0.033701766942994205,0.023360284736424798
34.9,3.9828921423310435,3.945602605292984,0.037289537038059706,0.02584713746231674
35.0,3.9828921423310435,3.9420472792329955,0.04084486309804802,0.02831150169676894
35.1,3.9828921423310435,3.938524660480133,0.04436748185091055,0.03075319495350319
35.2,3.9828921423310435,3.935034994524176,0.04785714780686767,0.0331720470719709
35.300000000000004,3.9828921423310435,3.931578509227583,0.05131363310346071,0.03556790010995126
35.4,3.9828921423310435,3.928155414996104,0.054736727334939506,0.03794060822529181
35.5,3.9828921423310435,3.924765904964394,0.05812623736664957,0.04029003754725129
35.6,3.9828921423310435,3.9214101551959466,0.061481987135096894,0.04261606603791524
35.7,3.9828921423310435,3.9180883248966656,0.06480381743437791,0.044918583344160476
35.800000000000004,3.9828921423310435,3.9148005566413806,0.06809158568966289,0.04719749064064575
35.9,3.9828921423310435,3.9115469766126116,0.07134516571843186,0.049452700464313104
36.0,3.9828921423310435,3.9083276948508843,0.07456444748015922,0.05168413654088248
36.1,3.9828921423310435,3.9051428055158945,0.07774933681514895,0.05389173360382605
36.2,3.9828921423310435,3.9019923871578337,0.0808997551732098,0.05607543720630022
36.300000000000004,3.9828921423310435,3.898876502998169,0.08401563933287459,0.05823520352652327
36.4,3.9828921423310435,3.8957952012191988,0.08709694111184474,0.06037099916707077
36.5,3.9828921423310435,3.8927485152616974,0.09014362706934609,0.062482800948564406
36.6,3.9828921423310435,3.8897364641299723,0.09315567820107118,0.06457059569822204
36.7,3.9828921423310435,3.886759052703672,0.09613308962737133,0.06663438003372896
36.800000000000004,3.9828921423310435,3.8838162720556824,0.09907587027536113,0.06867416014288946
36.9,3.9828921423310435,3.8809080997754766,0.10198404255556692,0.07068995155949669
37.0,3.9828921423310435,3.8780345002972765,0.10485764203376702,0.07268177893586962
37.1,3.9828921423310435,3.87519542523242,0.10769671709862338,0.07464967581247285
37.2,3.9828921423310435,3.8723908137053207,0.11050132862572282,0.07659368438504774
37.300000000000004,3.9828921423310435,3.8696205926924376,0.11327154963860586,0.07851385526965554
37.4,3.9828921423310435,3.866884677363684,0.11600746496735947,0.08041024726603184
37.5,3.9828921423310435,3.8641829714257208,0.11870917090532274,0.08228292711963314
37.6,3.9828921423310435,3.861515367466594,0.12137677486444964,0.0841319692827525
37.7,3.9828921423310435,3.858881747301205,0.12401039502983835,0.0859574556750575
37.800000000000004,3.9828921423310435,3.8562819823171046,0.12661016001393888,0.08775947544390525
37.9,3.9828921423310435,3.853715933820137,0.1291762085109065,0.08953812472475844
38.0,3.9828921423310435,3.851183453379468,0.1317086889515755,0.09129350640203138
38.1,3.9828921423310435,3.848684383171553,0.13420775915949035,0.09302572987066891
38.2,3.9828921423310435,3.8462185563226265,0.13667358600841695,0.09473491079875139
38.300000000000004,3.9828921423310435,3.843785797249302,0.13910634508174136,0.09642117089140784
38.400000000000006,3.9828921423310435,3.8413859219969075,0.14150622033413596,0.09808463765630074
38.5,3.9828921423310435,3.8390187385751813,0.14387340375586222,0.09972544417093854
38.6,3.9828921423310435,3.8366840472909933,0.14620809504005017,0.1013437288520513
38.7,3.9828921423310435,3.8343816410777594,0.14851050125328413,0.10293963522725812
38.800000000000004,3.9828921423310435,3.832111305821244,0.15078083650979934,0.10451331170923747
38.900000000000006,3.9828921423310435,3.8298728206814667,0.15301932164957677,0.10606491137259953
39.0,3.9828921423310435,3.827665958410439,0.1552261839206044,0.10759459173364644
39.1,3.9828921423310435,3.825490485665485,0.1574016566655585,0.10910251453319639
39.2,3.9828921423310435,3.8233461633179138,0.15954597901312972,0.11058884552262707
39.300000000000004,3.9828921423310435,3.8212327467568254,0.16165939557421805,0.11205375425329414
39.400000000000006,3.9828921423310435,3.819149986187859,0.16374215614318466,0.11349741386945478
39.5,3.9828921423310435,3.817097626926698,0.16579451540434542,0.11492000090482445
39.6,3.9828921423310435,3.8150754096871733,0.1678167326438702,0.11632169508288076
